id,name,sku,price,regular_price,sale_price,currency,in_stock,categories,permalink,short_description,description,images,local_images
7658,Traditional Thari Wool Shawl For Men,,3200.0,4000.0,3200.0,PKR,True,Shawls for Men &amp; Women | Shawls For Men,https://sindhhandicrafts.com/product/sindhi-shawl-for-men/,,"Sindhi Shawl for Men with Traditional Embroidery Sindhi Thari Embroidery Cultural Pattern Premium Quality Wool Size LxW Approx: 8 ft × 4 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/winter-shawl-for-men-1a.jpg?v=1762160882 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/winter-shawl-for-men-1b.jpg?v=1762160886,
7545,Luxurious Wool Shawl For Men,,3400.0,4250.0,3400.0,PKR,True,Shawls For Men | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/pakistani-shawl/,,"Superb Pakistani Shawl for Men 100% Premium Pure Wool Feel: Cloud-Soft, Silky Smooth and Lightweight Size LxW Approx: 8.5 ft × 4.5 ft Enduring Quality Maximum Cold-Weather Warmth Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Wool-Shawl-for-Men-3aa.jpg?v=1765365896 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Wool-Shawl-for-Men-3b.jpg?v=1765356008,
7544,Luxurious Wool Shawl For Men,,3400.0,4250.0,3400.0,PKR,True,Shawls For Men | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/mens-shawl-pakistan/,,"Impressive Mens Shawl Pakistan 100% Premium Pure Wool Feel: Cloud-Soft, Silky Smooth and Lightweight Size LxW Approx: 8.5 ft × 4.5 ft Enduring Quality Maximum Cold-Weather Warmth Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Wool-Shawl-for-Men-2a.jpg?v=1765355996 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Wool-Shawl-for-Men-2b.jpg?v=1765356000,
7543,Luxurious Wool Shawl For Men,,3400.0,4250.0,3400.0,PKR,True,Shawls For Men | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/men-shawl-design/,,"Fabulous Men Shawl Design for Men 100% Premium Pure Wool Feel: Cloud-Soft, Silky Smooth and Lightweight Size LxW Approx: 8.5 ft × 4.5 ft Enduring Quality Maximum Cold-Weather Warmth Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Wool-Shawl-for-Men-1a.jpg?v=1765355989 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Wool-Shawl-for-Men-1b.jpg?v=1765355993,
7344,Traditional Thari Wool Shawl For Men,,3200.0,4000.0,3200.0,PKR,False,Shawls for Men &amp; Women | Shawls For Men,https://sindhhandicrafts.com/product/woolen-shawl/,,"Thari Black Woolen Shawl for Men with Sindhi Embroidery Sindhi Thari Embroidery Cultural Pattern Premium Quality Wool Size LxW Approx: 8 ft × 4 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/Woolen-Shawl-for-Men-1a.jpg?v=1763223016 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/Woolen-Shawl-for-Men-1b.jpg?v=1763223021,
7296,Traditional Thari Wool Shawl For Men,,3200.0,4000.0,3200.0,PKR,True,Shawls for Men &amp; Women | Shawls For Men,https://sindhhandicrafts.com/product/wool-shawl-for-men/,,"Classic Wool Shawl for Men with Traditional Embroidery Sindhi Thari Embroidery Cultural Pattern Premium Quality Wool Size LxW Approx: 8 ft × 4 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/wool-shawl-for-men-1a.jpg?v=1762160891 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/wool-shawl-for-men-1b.jpg?v=1762160896,
7295,Luxurious Wool Shawl For Men,,3400.0,4250.0,3400.0,PKR,True,Shawls for Men &amp; Women | Shawls For Men,https://sindhhandicrafts.com/product/winter-shawl-for-men/,,"Magnificent Winter Shawl for Men 100% Premium Pure Wool Feel: Cloud-Soft, Silky Smooth and Lightweight Size LxW Approx: 8.5 ft × 4.5 ft Enduring Quality Maximum Cold-Weather Warmth Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/Woolen-Shawl-for-Men-2a.jpg?v=1765300088 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/Woolen-Shawl-for-Men-2b.jpg?v=1765300091,
7294,Traditional Thari Wool Shawl For Men,,3200.0,4000.0,3200.0,PKR,True,Shawls for Men &amp; Women | Shawls For Men,https://sindhhandicrafts.com/product/black-shawl-for-men/,,"Black Shawl for Men with Traditional Embroidery Sindhi Thari Embroidery Cultural Pattern Premium Quality Wool Size LxW Approx: 8 ft × 4 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/black-shawl-for-men-2a.jpg?v=1763220423 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/black-shawl-for-men-2b.jpg?v=1763220427,
7725,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,True,Shawls for Men &amp; Women | Shawls For Women,https://sindhhandicrafts.com/product/hand-embroidered-shawl-for-women/,,"Unique Hand Embroidered Shawl For Women Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-24b.jpg?v=1767455146 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-24a.jpg?v=1767455141,
7724,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,False,Shawls for Men &amp; Women | Shawls For Women,https://sindhhandicrafts.com/product/pakistani-shawl-for-women/,,"Classy Pakistani Shawl For Women Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-23a.jpg?v=1767455186 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-23b.jpg?v=1767455192,
7559,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,False,Shawls For Women | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/hand-embroidered-pashmina-shawl/,,"Lovely Hand Embroidered Pashmina Shawl For Women Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-19a.jpg?v=1765467126 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-19b.jpg?v=1765434674,
7558,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,True,Shawls For Women | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/women-shawls-pakistan/,,"Glorious Women Shawls Pakistan Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-18a.jpg?v=1765434654 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-18b.jpg?v=1765434659,
7557,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,False,Shawls For Women | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/women-shawl-design/,,"Aesthetic Women Shawl Design Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-22a.jpg?v=1767452019 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-22_.jpg?v=1767451274,
7536,Luxurious Hand Embroidered Pashmina Shawl For Women,,3400.0,4250.0,3400.0,PKR,False,Shawls For Women | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/black-shawl-for-women/,,"Dazzling Black Shawl For Women Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-15a.jpg?v=1765299482 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-15b.jpg?v=1765299487,
7527,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,True,Shawls For Women | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/white-shawl-for-women/,,"Splendid White Shawl For Women Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-16a.jpg?v=1765394281 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-16b.jpg?v=1765394286,
7526,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,True,Shawls For Women | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/girls-shawl/,,"Stylish Girls Shawl Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-13a.jpg?v=1765298622 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-13b.jpg?v=1765298626,
7525,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,True,Shawls For Women | Shawls for Men &amp; Women,https://sindhhandicrafts.com/product/ladies-shawl/,,"Sophisticated Ladies Shawl Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-12a.jpg?v=1765297192 | https://sindhhandicrafts.com/wp-content/uploads/2025/12/Pashmina-Shawl-12b.jpg?v=1765297196,
7474,Luxurious Hand Embroidered Pashmina Shawl For Women,,3200.0,4000.0,3200.0,PKR,False,Shawls for Men &amp; Women | Shawls For Women,https://sindhhandicrafts.com/product/embroidered-shawl/,,"Elegant Hand Embroidered Shawl for Women Sui Hand Embroidery Jaal Work Premium Quality Pashmina Size LxW Approx: 2.5 yard × 1.25 ft Perfect for Winter Season Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-4a.jpg?v=1764135138 | https://sindhhandicrafts.com/wp-content/uploads/2025/11/Pashmina-Shawl-4b.jpg?v=1764135142,
6972,Traditional Sindhi Topi (Cap),,1200.0,1500.0,1200.0,PKR,False,Sindhi Topi,https://sindhhandicrafts.com/product/sindhi-balochi-cap/,,"Traditional Sindhi Balochi Cap Size: Standard (Common Size) Machine Made with Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Sindhi-Topi-13a.jpg?v=1757365875 | https://sindhhandicrafts.com/wp-content/uploads/2024/09/Sindhi-Topi-13b.jpg?v=1757365879,
6973,Traditional Sindhi Topi (Cap),,1200.0,1500.0,1200.0,PKR,False,Sindhi Topi,https://sindhhandicrafts.com/product/sindhi-balochi-topi/,,"Cultural Sindhi Balochi Topi Size: Standard (Common Size) Machine Made with Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Sindhi-Topi-10a.jpg?v=1757365856 | https://sindhhandicrafts.com/wp-content/uploads/2024/09/Sindhi-Topi-10b.jpg?v=1757365859,
6969,Traditional Sindhi Topi (Cap),,1950.0,2500.0,1950.0,PKR,True,Sindhi Topi,https://sindhhandicrafts.com/product/black-sindhi-cap/,,"Black Sindhi Cap Online Size: Standard (Common Size) Machine Made with Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/09/Sindhi-Topi-20a.jpg?v=1766145668 | https://sindhhandicrafts.com/wp-content/uploads/2025/09/Sindhi-Topi-20b.jpg?v=1766217105,
6971,Handmade Sindhi Topi (Cap),,1950.0,2500.0,1950.0,PKR,False,Sindhi Topi,https://sindhhandicrafts.com/product/red-sindhi-topi/,,"Classic Red Sindhi Topi Size: Standard (Common Size) Fully Handmade Thread, Needle, Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/09/Handmade-Sindhi-Topi-7a.jpg?v=1766127747 | https://sindhhandicrafts.com/wp-content/uploads/2025/09/Handmade-Sindhi-Topi-7b.jpg?v=1766216880,
6970,Traditional Sindhi Topi (Cap),,1950.0,2500.0,1950.0,PKR,True,Sindhi Topi,https://sindhhandicrafts.com/product/cap-sindhi/,,"Graceful Cap Sindhi Size: Standard (Common Size) Machine Made with Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Sindhi-Topi-14a.jpg?v=1757365883 | https://sindhhandicrafts.com/wp-content/uploads/2024/09/Sindhi-Topi-14b.jpg?v=1757365886,
6968,Handmade Sindhi Topi (Cap),,1950.0,2500.0,1950.0,PKR,True,Sindhi Topi,https://sindhhandicrafts.com/product/sindh-topi/,,"Traditional Sindh Topi Size: Standard (Common Size) Fully Handmade Thread, Needle, Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Handmade-Sindhi-Topi-3a.jpg?v=1757365035 | https://sindhhandicrafts.com/wp-content/uploads/2024/09/Handmade-Sindhi-Topi-3b.jpg?v=1757365039,
6967,Handmade Sindhi Topi (Cap),,1950.0,2500.0,1950.0,PKR,True,Sindhi Topi,https://sindhhandicrafts.com/product/sindhi-cap-design/,,"Trendy Sindhi Cap Design Size: Standard (Common Size) Fully Handmade Thread, Needle, Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/09/Handmade-Sindhi-Topi-9a.jpg?v=1766168880 | https://sindhhandicrafts.com/wp-content/uploads/2025/09/Handmade-Sindhi-Topi-9b.jpg?v=1766168884,
6966,Handmade Sindhi Topi (Cap),,1950.0,2500.0,1950.0,PKR,True,Sindhi Topi,https://sindhhandicrafts.com/product/handmade-sindhi-cap/,,"Stylish Handmade Sindhi Cap Size: Standard (Common Size) Fully Handmade Thread, Needle, Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Handmade-Sindhi-Topi-4a.jpg?v=1757365043 | https://sindhhandicrafts.com/wp-content/uploads/2024/09/Handmade-Sindhi-Topi-4b.jpg?v=1757365047,
6965,Handmade Sindhi Topi (Cap),,1950.0,2500.0,1950.0,PKR,True,Sindhi Topi,https://sindhhandicrafts.com/product/sindhi-topi-at-best-price/,,"Premium Sindhi Topi At Best Price Size: Standard (Common Size) Fully Handmade Thread, Needle, Mirror Work Light Weight Ideal for wearing in cultural, party and other occasions Best Cultural Product for Gift Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Handmade-Sindhi-Topi-5a.jpg?v=1757365050 | https://sindhhandicrafts.com/wp-content/uploads/2024/09/Handmade-Sindhi-Topi-5b.jpg?v=1757365054,
